,log2FoldChange,padj,gene_symbol,care
125,-2.068647482,1.19E-12,Icosl,1
7714,-2.974573971,3.06E-07,Arhgdib,0
32198,-2.112514835,1.01E-06,Khdc3,0
12559,-4.556158695,1.19E-05,Tex13b,0
20463,-2.153181132,3.97E-05,E330020D12Rik,0
8487,-2.113477454,8.79E-05,Mfap3l,0
16636,-2.491669347,0.000294288,En1,0
10493,-2.173348771,0.000926789,Arhgef26,0
13719,-4.191374019,0.001037921,Tafa4,0
45885,-2.274885653,0.001965846,A730082K24Rik,0
124,-2.075421724,0.002810983,Aire,1
35720,-2.705154399,0.003842052,D130017N08Rik,0
30909,-2.121568881,0.004615172,Pou3f1,0
16783,-5.635363016,0.006411199,Zfp36l3,0
123,-2.412592486,0.012386971,Dnmt3l,1
2637,-3.66933705,0.013572592,Rsad2,0
46399,-2.4352121,0.014267646,Gm44732,0
50804,-2.726488276,0.014874573,Gm48035,0
4483,-2.29687371,0.015577247,Lama3,0
4303,-5.695683343,0.015832951,Nrxn1,0
51419,-2.223109188,0.016966222,Gm40849,0
5093,-2.646311241,0.01794808,Tktl2,0
46777,-2.810098697,0.01946153,Gm9165,0
3669,-2.937681652,0.019606092,Enpp2,0
13356,-2.19032845,0.020235371,Sox3,0
5005,-2.504280641,0.021946975,Cdh9,0
43807,-4.927022352,0.022620241,Lef1os1,0
7889,-2.759370081,0.026440537,Nr2f2,0
13399,-4.162559667,0.027141142,Fndc7,0
42604,-3.118726616,0.033446698,Nwd2os,0
2197,-4.911250709,0.033446698,Rspo3,0
12503,-3.044440501,0.034161642,Pglyrp3,0
10779,-4.363158062,0.039572415,Tnfrsf23,0
19318,-3.817507498,0.039891775,Insm1,0
15056,-2.015842361,0.043705219,Kctd16,0
13106,-2.252806692,0.048305042,Neurog3,0
