,log2FoldChange,padj,gene_symbol,care
1564,3.487650625,2.02E-16,Aldh1a3,0
11481,3.149985069,1.31E-13,2300002M23Rik,0
17471,2.567186715,1.07E-11,Ap3b2,0
13019,2.026977836,2.49E-07,Fmn1,1
49589,2.927678034,7.98E-07,Gm36634,0
8862,4.901995229,7.98E-07,Thsd4,0
27867,2.061765127,2.93E-05,Gm15462,0
5109,2.094254197,4.95E-05,Slc15a1,0
28306,2.004065398,6.34E-05,Gm13261,0
3789,2.324328136,8.77E-05,Mroh4,1
53197,6.508215287,0.000159557,Gm35853,0
131,3.363290703,0.000175565,Serpinf1,0
14849,2.0995685,0.000334133,Ism2,0
7868,2.350887448,0.000341093,Entrep2,0
17268,2.595288849,0.000355572,Adgrg5,0
16610,2.528803108,0.000385524,Gpc6,0
7135,2.161937004,0.000453826,Mapre3,0
16804,2.974593209,0.000544614,Fxyd2,0
27579,2.079523969,0.000619975,Grin1os,0
38282,4.940020825,0.000659755,Mir124-2hg,0
1979,2.048700068,0.000675471,Copz2,0
7149,2.281429826,0.001320241,Fam114a1,0
10694,2.329007962,0.001549603,Hhat,0
9472,4.554273636,0.001626448,Fgg,0
46232,5.784890695,0.002265791,Gm44921,0
20204,2.279688459,0.002725844,Fzd10os,0
5554,4.014031951,0.003028176,Chit1,0
46737,2.810438698,0.003124402,B230311B06Rik,0
47384,6.73478746,0.003228179,Gm45288,0
15919,3.068489905,0.003558196,Fat2,0
1303,2.664345212,0.003869673,Tnfrsf13b,0
11967,2.211676169,0.007202494,Cd79b,0
3441,2.106254641,0.007205051,Scara5,0
89,2.174749026,0.010502411,Acvrl1,0
16994,3.079021773,0.011911044,Pyroxd2,0
35939,2.911825707,0.011911998,Gm5091,0
12778,2.191363486,0.012860702,Synpo,0
11000,5.152650302,0.014872155,1700022A21Rik,0
14933,2.162081863,0.015832951,Creg2,0
8900,2.67165015,0.017778741,Hcn4,0
4080,2.539559544,0.01796469,Tmem52,0
2611,2.176329411,0.019102301,Arsg,0
3885,4.690561044,0.02164014,Meltf,0
10617,2.965482738,0.021690455,Krt80,0
31575,2.813100912,0.024080528,Gm8206,0
16521,3.651298572,0.028250375,T2,0
6731,2.941002585,0.029578202,Pde4b,0
55188,3.009855226,0.030081049,Gm50301,0
17664,2.818877449,0.030089166,Tmem117,0
15439,2.225151689,0.031979138,Ptprt,0
9181,2.420434956,0.037285811,Cspg4,0
41679,4.920316033,0.039068957,Gm30238,0
43328,2.379060884,0.040767851,Gm32996,0
10470,2.752110315,0.041815111,Lpar3,0
4233,2.901397865,0.044007446,Tspo2,0
