"","qKO_rep1","qKO_rep2","qKO_rep3","WT_rep1","WT_rep2","WT_rep3"
"ENSMUSG00000102693.1",0,0,0,0,0,0
"ENSMUSG00000064842.1",0,0,0,0,0,0
"ENSMUSG00000051951.5",0,2,8,2,0,4
"ENSMUSG00000102851.1",0,0,0,0,0,0
"ENSMUSG00000103377.1",0,0,0,0,0,0
"ENSMUSG00000104017.1",0,0,0,0,0,0
"ENSMUSG00000103025.1",0,0,0,0,0,0
"ENSMUSG00000089699.1",0,0,0,0,0,0
"ENSMUSG00000103201.1",0,0,0,0,0,0
"ENSMUSG00000103147.1",0,0,0,0,0,0
"ENSMUSG00000103161.1",0,0,0,0,0,0
"ENSMUSG00000102331.1",0,2,0,0,2,0
"ENSMUSG00000102348.1",0,0,0,0,0,0
"ENSMUSG00000102592.1",0,0,0,0,0,0
"ENSMUSG00000088333.2",0,0,0,0,0,0
"ENSMUSG00000102343.1",0,0,0,0,0,0
"ENSMUSG00000025900.12",0,0,0,0,0,0
"ENSMUSG00000102948.1",0,0,0,0,0,0
"ENSMUSG00000104123.1",0,0,0,0,0,0
"ENSMUSG00000025902.13",2,4,0,8,4,12
"ENSMUSG00000104238.1",0,0,0,0,0,0
"ENSMUSG00000102269.1",10,8,28,4,4,6
"ENSMUSG00000096126.1",0,0,0,0,0,0
"ENSMUSG00000103003.1",0,0,0,0,0,0
"ENSMUSG00000104328.1",0,0,0,0,0,0
"ENSMUSG00000102735.1",0,0,0,0,0,0
"ENSMUSG00000098104.1",14,24,10,14,2,10
"ENSMUSG00000102175.1",0,0,0,0,0,0
"ENSMUSG00000088000.1",0,0,0,0,0,0
"ENSMUSG00000103265.1",0,0,0,2,0,0
"ENSMUSG00000103922.1",98,124,76,124,110,112
"ENSMUSG00000033845.13",4632,5299,4619,5824,6922,4626
"ENSMUSG00000102275.1",62,80,50,72,62,64
"ENSMUSG00000025903.14",2204,5557,2378,5777,2650,3336
"ENSMUSG00000104217.1",0,0,0,0,0,0
"ENSMUSG00000033813.15",2392,2708,2327,3365,2980,2476
"ENSMUSG00000062588.4",0,4,8,2,12,2
"ENSMUSG00000103280.1",0,4,0,4,4,2
"ENSMUSG00000002459.17",4,2,0,12,18,2
"ENSMUSG00000091305.1",0,0,0,0,0,0
"ENSMUSG00000102653.1",0,0,0,0,0,0
"ENSMUSG00000085623.1",4,0,0,2,2,0
"ENSMUSG00000091665.1",0,0,0,0,0,0
"ENSMUSG00000033793.12",1988,2690,2142,2256,2250,2046
"ENSMUSG00000104352.1",0,0,0,0,0,0
"ENSMUSG00000104046.1",0,0,0,0,0,0
"ENSMUSG00000102907.1",0,0,0,0,0,0
"ENSMUSG00000025905.14",4,4,4,6,4,4
"ENSMUSG00000103936.1",0,0,0,0,0,0
"ENSMUSG00000093015.1",0,0,0,0,0,0
